id;arquivo_versao;formato_duracao;gancho_literal;promessa_literal;prova_utilizada;oferta_preco_frete;cta;url_destino;direitos_imagem_voz;congruencia_pagina;status_revisao;gasto_brl;pedidos_aprovados;receita_brl;reembolsos_brl;observacoes
C01;;;;;;;;;;;PENDENTE;;;;;Posição de inventário. Arquivo não identificado nem analisado.
C02;;;;;;;;;;;PENDENTE;;;;;Posição de inventário. Arquivo não identificado nem analisado.
C03;;;;;;;;;;;PENDENTE;;;;;Posição de inventário. Arquivo não identificado nem analisado.
C04;;;;;;;;;;;PENDENTE;;;;;Posição de inventário. Arquivo não identificado nem analisado.
C05;;;;;;;;;;;PENDENTE;;;;;Posição de inventário. Arquivo não identificado nem analisado.
C06;;;;;;;;;;;PENDENTE;;;;;Posição de inventário. Arquivo não identificado nem analisado.
C07;;;;;;;;;;;PENDENTE;;;;;Posição de inventário. Arquivo não identificado nem analisado.
C08;;;;;;;;;;;PENDENTE;;;;;Posição de inventário. Arquivo não identificado nem analisado.
C09;;;;;;;;;;;PENDENTE;;;;;Posição de inventário. Arquivo não identificado nem analisado.
C10;;;;;;;;;;;PENDENTE;;;;;Posição de inventário. Arquivo não identificado nem analisado.
